1132144 British Columbia Ltd Canada Mine Industry Homepage Home,1,b'https://freemangoldcorp.com/',b'Freeman Gold Corp: Home',"b'Freeman Gold Corp. Freeman Gold is strategically located in Idaho with its flagship Lemhi Gold Property Discover The Project Lemhi Gold Idaho, USA Lemhi Gold is located in Idaho, one of the top ranked gold mining jurisdictions in the world. About Project Investment Highlights Maiden NI43-101 compliant mineral resource estimate (July 8th, 2021) defining high []'"
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,2,b'https://www.bclaws.gov.bc.ca/civix/document/id/corpreg/corpreg/crpn0907fin1417',"b'Corporate Registry Notices -- September 7, 2017'",N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,3,b'https://www.ourcommons.ca/Committees/en/FINA/IndexOfProceedings?parl=36&session=1',b'FINA - Index of Proceedings',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,4,b'https://www.sec.gov/Archives/edgar/data/711175/000119312518176539/d574981dnq.htm',b'The Prudential Series Fund',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,5,b'https://www.marketscreener.com/quote/stock/FREEMAN-GOLD-CORP-133120120/news/Freeman-Gold-FY2022-Q1-Management-Discussion-and-Analysis-40102492/',b'Freeman Gold : FY2022 Q1 Management Discussion and Analysis ...',"b'FREEMAN GOLD CORP.\n      \n      \n        \n      \n      \n        MANAGEMENT DISCUSSION AND ANALYSIS\n      \n      \n        For the Three Months ended February 28, 2022\n      \n      \n    ...'"
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,6,b'https://finances.worldbank.org/api/views/a3d9-f9xv/rows.pdf?accessType=DOWNLOAD',b'Corporate Procurement Contract Awards',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,7,b'https://www.fundsquare.net/download/dl?siteId=FSQ&v=G1vU4RTTewbZVa39Nk5Zgydglj7PMaPVRqHyBmhJVAAeVsiBJBtYmWebPwlVkBtsARWjME+Q08ikw1yP4qgKi8JAbLv/990j1navO2GWlmHNp7F99Mu0vAxAbUguazh4mKhK5xldLOVxWzzhuvyQng==',b'BMeiriLynch Investment Managers Merrill Lynch nternational ...',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,8,b'https://rosap.ntl.bts.gov/view/dot/40809/dot_40809_DS1.pdf?',b'Annual Report Procurement Organization Sandia National ...',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,9,b'http://pericles.ipaustralia.gov.au/ols/epublish/content/journals/trademarks/tm2036p20060921.pdf',b'TRADE MARKS',N/A
1132144 British Columbia Ltd Canada Mine Industry Homepage Home,10,b'http://norvig.com/years-100k.txt',b'norvig.com/years-100k.txt',N/A
