Adastra Holdings Ltd Canada Mine Industry,1,https://themarketherald.ca/adastra-holdings-csextrx-approval-to-include-cocaine-under-its-controlled-substances-dealers-license-2023-03-03/,b'Adastra Holdings (CSE:XTRX) receives Health Canada approval to ...',b'Adastra Holdings (CSE:XTRX) has received Health Canada approval to produce and sell cocaine.'
Adastra Holdings Ltd Canada Mine Industry,2,https://www.barrons.com/market-data/company-list/sector/mining-metals/1,b'Mining & Metals Companies',"b""Barron's is a leading source of financial news, providing in-depth analysis and commentary on stocks, investments and how markets are moving across the world."""
Adastra Holdings Ltd Canada Mine Industry,3,https://www.marketwatch.com/tools/markets/stocks/country/canada,b'Stocks/Country/Canada Index - Markets Index',N/A
Adastra Holdings Ltd Canada Mine Industry,4,https://www.barrons.com/market-data/company-list/country/canada/1,b'Canada',"b""Barron's is a leading source of financial news, providing in-depth analysis and commentary on stocks, investments and how markets are moving across the world."""
Adastra Holdings Ltd Canada Mine Industry,5,https://thecse.com/en/listings/life-sciences/adastra-holdings-ltd,b'Adastra Holdings Ltd. | CSE - Canadian Securities Exchange',N/A
Adastra Holdings Ltd Canada Mine Industry,6,https://www.wsj.com/market-data/quotes/company-list/sector/mining-metals,b'Company List by Sector - WSJ',N/A
Adastra Holdings Ltd Canada Mine Industry,7,https://www.sec.gov/divisions/corpfin/internatl/foreignalpha2006.pdf,b'International Registered and Reporting Companies - Alphabetical ...',N/A
Adastra Holdings Ltd Canada Mine Industry,8,https://www.bloomberg.com/quote/XTRX:CN,b'XTRX: Adastra Holdings Ltd Stock Price Quote - Canadian Sec ...',"b'Stock analysis for Adastra Holdings Ltd (XTRX:Canadian Sec) including stock price, stock chart, company news, key statistics, fundamentals and company profile.'"
Adastra Holdings Ltd Canada Mine Industry,9,https://www.sec.gov/Archives/edgar/data/1891512/000106299321010372/form20fr12g.htm,b'Adastra Holdings Ltd.: Form 20FR12G - Filed by newsfilecorp.com',N/A
Adastra Holdings Ltd Canada Mine Industry,10,https://adastracorp.com/,b'Adastra | Data Analytics and IT Consultancy',"b""Crafting solutions in the domains of data analytics, cloud technology, business intelligence, DevOps, and robotic process automation. Let's talk IT."""
